GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-java,com.sistema.controller,LoginController,80,3,4,0,17,1,6,1,4,1
sistema-java,com.sistema.controller,HealthController,0,128,0,0,0,28,0,4,0,4
sistema-java,com.sistema.controller,AuthController.LoginRequest,17,0,0,0,5,0,5,0,5,0
sistema-java,com.sistema.controller,AuthController.ChangePasswordRequest,17,0,0,0,5,0,5,0,5,0
sistema-java,com.sistema.controller,AuthController.LogoutRequest,20,0,0,0,6,0,5,0,5,0
sistema-java,com.sistema.controller,AuthController.RefreshTokenRequest,10,0,0,0,3,0,3,0,3,0
sistema-java,com.sistema.controller,RSATestController,90,3,8,0,15,1,5,1,1,1
sistema-java,com.sistema.controller,AuthController,504,13,12,0,128,5,17,2,11,2
sistema-java,com.sistema.controller,AuthController.RegisterRequest,38,0,0,0,11,0,11,0,11,0
sistema-java,com.sistema.controller,WebController,17,3,0,0,4,1,1,1,1,1
sistema-java,com.sistema.controller,AuthController.EnableUserRequest,10,0,0,0,3,0,3,0,3,0
sistema-java,com.sistema.controller,AuthController.ValidateTokenRequest,10,0,0,0,3,0,3,0,3,0
sistema-java,com.sistema.controller,HomeController,0,17,0,0,0,5,0,3,0,3
sistema-java,com.sistema,SistemaJavaApplication,5,3,0,0,2,1,1,1,1,1
sistema-java,com.sistema.service,RefreshTokenService,234,230,17,21,51,53,20,18,8,11
sistema-java,com.sistema.service,JwtService,105,284,6,6,34,62,7,18,1,18
sistema-java,com.sistema.service,AuthService,265,283,14,6,57,64,21,11,13,9
sistema-java,com.sistema.entity,User,105,116,11,5,31,42,24,21,17,20
sistema-java,com.sistema.entity,RefreshToken,171,120,32,2,32,45,30,22,13,22
sistema-java,com.sistema.entity,Role,21,21,6,0,3,4,6,1,3,1
sistema-java,com.sistema.config,RedisConfig,0,53,0,0,0,19,0,3,0,3
sistema-java,com.sistema.config,SecurityConfig.ProductionSecurityConfig,24,0,0,0,8,0,4,0,4,0
sistema-java,com.sistema.config,SecurityConfig,0,286,0,0,0,34,0,10,0,10
sistema-java,com.sistema.config,SecurityConfig.DevSecurityConfig,15,0,0,0,5,0,3,0,3,0
sistema-java,com.sistema.config,RSAKeyManager,24,388,2,12,7,95,2,22,0,17
sistema-java,com.sistema.security,JwtAuthenticationFilter,124,82,32,18,33,23,26,9,5,5
